,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,year_x,month,movie_and_year,profit,profit_margin,budget_tier,title,studio,domestic_gross_y,foreign_gross,year_y,movie_id,primary_title,original_title,start_year,runtime_minutes,genres
2,23,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,2017,Apr,The Fate of the Furious - 2017,984846267.0,79.75456486519872,super-high budget,The Fate of the Furious,Uni.,226000000.0,"1,010.0",2017,tt4630562,The Fate of the Furious,The Fate of the Furious,2017.0,136.0,"Action,Crime,Thriller"
3,34,2015-06-12,Jurassic World,215000000.0,652270625.0,1648854864.0,2015,Jun,Jurassic World - 2015,1433854864.0,86.96064737447989,super-high budget,Jurassic World,Uni.,652300000.0,"1,019.4",2015,tt0369610,Jurassic World,Jurassic World,2015.0,124.0,"Action,Adventure,Sci-Fi"
4,42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,2018,Feb,Black Panther - 2018,1148258224.0,85.16604635226018,super-high budget,Black Panther,BV,700100000.0,646900000,2018,tt1825683,Black Panther,Black Panther,2018.0,134.0,"Action,Adventure,Sci-Fi"
5,44,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,2018,Jun,Incredibles 2 - 2018,1042520711.0,83.90368882953774,super-high budget,Incredibles 2,BV,608600000.0,634200000,2018,tt3606756,Incredibles 2,Incredibles 2,2018.0,118.0,"Action,Adventure,Animation"
6,46,2016-06-17,Finding Dory,200000000.0,486295561.0,1021215193.0,2016,Jun,Finding Dory - 2016,821215193.0,80.41548917692218,super-high budget,Finding Dory,BV,486300000.0,542300000,2016,tt2277860,Finding Dory,Finding Dory,2016.0,97.0,"Adventure,Animation,Comedy"
7,67,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,2015,Apr,Furious 7 - 2015,1328722794.0,87.48948782815201,super-high budget,Furious 7,Uni.,353000000.0,"1,163.0",2015,tt2820852,Furious 7,Furious Seven,2015.0,137.0,"Action,Crime,Thriller"
8,73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,2015,Nov,The Good Dinosaur - 2015,146271037.0,43.82376563128814,super-high budget,The Good Dinosaur,BV,123100000.0,209100000,2015,tt1979388,The Good Dinosaur,The Good Dinosaur,2015.0,93.0,"Adventure,Animation,Comedy"
11,84,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,2014,May,Maleficent - 2014,578536735.0,76.27010114414564,super-high budget,Maleficent,BV,241400000.0,517100000,2014,tt1587310,Maleficent,Maleficent,2014.0,97.0,"Action,Adventure,Family"
17,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,Jun,Inside Out - 2015,679235992.0,79.51385780523282,super-high budget,Inside Out,BV,356500000.0,501100000,2015,tt2096673,Inside Out,Inside Out,2015.0,95.0,"Adventure,Animation,Comedy"
19,2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,Nov,Coco - 2017,623008101.0,78.0703980597811,super-high budget,Coco,BV,209700000.0,597400000,2017,tt2380307,Coco,Coco,2017.0,105.0,"Adventure,Animation,Comedy"
20,2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,Nov,Coco - 2017,623008101.0,78.0703980597811,super-high budget,Coco,BV,209700000.0,597400000,2017,tt7002100,Coco,Coco,2017.0,98.0,Horror
21,5,2017-06-16,Cars 3,175000000.0,152901115.0,383541369.0,2017,Jun,Cars 3 - 2017,208541369.0,54.372588162712645,super-high budget,Cars 3,BV,152900000.0,231000000,2017,tt3606752,Cars 3,Cars 3,2017.0,102.0,"Adventure,Animation,Comedy"
22,14,2014-08-01,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,2014,Aug,Guardians of the Galaxy - 2014,600867516.0,77.94692389139406,super-high budget,Guardians of the Galaxy,BV,333200000.0,440200000,2014,tt2015381,Guardians of the Galaxy,Guardians of the Galaxy,2014.0,121.0,"Action,Adventure,Comedy"
23,17,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,2014,Jul,Dawn of the Planet of the Apes - 2014,540644566.0,76.07805531295655,super-high budget,Dawn of the Planet of the Apes,Fox,208500000.0,502100000,2014,tt2103281,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,2014.0,130.0,"Action,Adventure,Drama"
24,23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,2015,May,Tomorrowland - 2015,36627518.0,17.726350466059415,super-high budget,Tomorrowland,BV,93400000.0,115700000,2015,tt1964418,Tomorrowland,Tomorrowland,2015.0,130.0,"Action,Adventure,Family"
25,26,2016-05-27,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,2016,May,Alice Through the Looking Glass - 2016,106928112.0,38.612227277236485,super-high budget,Alice Through the Looking Glass,BV,77000000.0,222400000,2016,tt2567026,Alice Through the Looking Glass,Alice Through the Looking Glass,2016.0,113.0,"Adventure,Family,Fantasy"
26,28,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0,2016,Nov,Doctor Strange - 2016,511404566.0,75.6063148751719,super-high budget,Doctor Strange,BV,232600000.0,445100000,2016,tt1211837,Doctor Strange,Doctor Strange,2016.0,115.0,"Action,Adventure,Fantasy"
27,29,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,2014,Nov,Big Hero 6 - 2014,487127828.0,74.69821208120565,super-high budget,Big Hero 6,BV,222500000.0,435300000,2014,tt2245084,Big Hero 6,Big Hero 6,2014.0,102.0,"Action,Adventure,Animation"
30,46,2016-06-10,Warcraft,160000000.0,47225655.0,425522281.0,2016,Jun,Warcraft - 2016,265522281.0,62.39914872988754,super-high budget,Warcraft,Uni.,47400000.0,386300000,2016,tt0803096,Warcraft,Warcraft,2016.0,123.0,"Action,Adventure,Fantasy"
31,50,2018-03-23,Pacific Rim Uprising,155000000.0,59874525.0,290930148.0,2018,Mar,Pacific Rim Uprising - 2018,135930148.0,46.722606417537726,super-high budget,Pacific Rim Uprising,Uni.,59900000.0,231100000,2018,tt2557478,Pacific Rim Uprising,Pacific Rim: Uprising,2018.0,111.0,"Action,Adventure,Sci-Fi"
32,52,2017-07-14,War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,2017,Jul,War for the Planet of the Apes - 2017,337592267.0,68.95375800533222,super-high budget,War for the Planet of the Apes,Fox,146900000.0,343800000,2017,tt3450958,War for the Planet of the Apes,War for the Planet of the Apes,2017.0,140.0,"Action,Adventure,Drama"
34,57,2016-03-04,Zootopia,150000000.0,341268248.0,1019429616.0,2016,Mar,Zootopia - 2016,869429616.0,85.28588951647643,super-high budget,Zootopia,BV,341300000.0,682500000,2016,tt2948356,Zootopia,Zootopia,2016.0,108.0,"Adventure,Animation,Comedy"
35,62,2016-11-23,Moana,150000000.0,248757044.0,637517365.0,2016,Nov,Moana - 2016,487517365.0,76.47122914055839,super-high budget,Moana,BV,248800000.0,394600000,2016,tt3521164,Moana,Moana,2016.0,107.0,"Adventure,Animation,Comedy"
38,92,2017-02-17,The Great Wall,150000000.0,45157105.0,334486852.0,2017,Feb,The Great Wall - 2017,184486852.0,55.15518798329329,super-high budget,The Great Wall,Uni.,45500000.0,289400000,2017,tt7535780,The Great Wall,The Great Wall,2017.0,72.0,Documentary
40,99,2014-06-13,How to Train Your Dragon 2,145000000.0,177002924.0,614586270.0,2014,Jun,How to Train Your Dragon 2 - 2014,469586270.0,76.40689239608298,super-high budget,How to Train Your Dragon 2,Fox,177000000.0,444500000,2014,tt1646971,How to Train Your Dragon 2,How to Train Your Dragon 2,2014.0,102.0,"Action,Adventure,Animation"
41,11,2016-01-29,Kung Fu Panda 3,140000000.0,143528619.0,517599142.0,2016,Jan,Kung Fu Panda 3 - 2016,377599142.0,72.95204171725617,super-high budget,Kung Fu Panda 3,Fox,143500000.0,377600000,2016,tt2267968,Kung Fu Panda 3,Kung Fu Panda 3,2016.0,95.0,"Action,Adventure,Animation"
42,17,2016-07-01,The BFG,140000000.0,55483770.0,199646680.0,2016,Jul,The BFG - 2016,59646680.0,29.876119152094088,super-high budget,The BFG,BV,55500000.0,127900000,2016,tt3691740,The BFG,The BFG,2016.0,117.0,"Adventure,Family,Fantasy"
43,27,2015-12-25,The Revenant,135000000.0,183637894.0,532938302.0,2015,Dec,The Revenant - 2015,397938302.0,74.66873754553299,super-high budget,The Revenant,Fox,183600000.0,349300000,2015,tt1663202,The Revenant,The Revenant,2015.0,156.0,"Action,Adventure,Biography"
44,35,2018-11-02,The Nutcracker and the Four Realms,132900000.0,54858851.0,170293899.0,2018,Nov,The Nutcracker and the Four Realms - 2018,37393899.0,21.958449022298794,super-high budget,The Nutcracker and the Four Realms,BV,54900000.0,119100000,2018,tt5523010,The Nutcracker and the Four Realms,The Nutcracker and the Four Realms,2018.0,99.0,"Adventure,Family,Fantasy"
45,37,2014-11-26,Penguins of Madagascar,132000000.0,83350911.0,366942531.0,2014,Nov,Penguins of Madagascar - 2014,234942531.0,64.02706449964504,super-high budget,Penguins of Madagascar,Fox,83400000.0,289700000,2014,tt1911658,Penguins of Madagascar,Penguins of Madagascar,2014.0,92.0,"Adventure,Animation,Comedy"
46,45,2018-12-19,Mary Poppins Returns,130000000.0,171958438.0,341528518.0,2018,Dec,Mary Poppins Returns - 2018,211528518.0,61.9358287380265,super-high budget,Mary Poppins Returns,BV,172000000.0,177600000,2018,tt5028340,Mary Poppins Returns,Mary Poppins Returns,2018.0,130.0,"Comedy,Family,Fantasy"
47,49,2014-04-11,Rio 2,130000000.0,131538435.0,492846291.0,2014,Apr,Rio 2 - 2014,362846291.0,73.62260762149066,super-high budget,Rio 2,Fox,131500000.0,368600000,2014,tt2357291,Rio 2,Rio 2,2014.0,101.0,"Adventure,Animation,Comedy"
49,71,2017-03-31,The Boss Baby,125000000.0,175003033.0,510878762.0,2017,Mar,The Boss Baby - 2017,385878762.0,75.53235536536161,super-high budget,The Boss Baby,Fox,175000000.0,353000000,2017,tt3874544,The Boss Baby,The Boss Baby,2017.0,97.0,"Adventure,Animation,Comedy"
50,73,2016-11-04,Trolls,125000000.0,153707064.0,344150134.0,2016,Nov,Trolls - 2016,219150134.0,63.67864264728138,super-high budget,Trolls,Fox,153700000.0,193200000,2016,tt1679335,Trolls,Trolls,2016.0,92.0,"Adventure,Animation,Comedy"
51,78,2018-07-13,Skyscraper,125000000.0,68420120.0,304115534.0,2018,Jul,Skyscraper - 2018,179115534.0,58.89719990429689,super-high budget,Skyscraper,Uni.,68400000.0,236400000,2018,tt5758778,Skyscraper,Skyscraper,2018.0,102.0,"Action,Adventure,Thriller"
52,86,2016-07-29,Jason Bourne,120000000.0,162192920.0,416168316.0,2016,Jul,Jason Bourne - 2016,296168316.0,71.1655127537388,super-high budget,Jason Bourne,Uni.,162400000.0,253100000,2016,tt4196776,Jason Bourne,Jason Bourne,2016.0,123.0,"Action,Thriller"
53,98,2015-08-07,Fantastic Four,120000000.0,56117548.0,167849187.0,2015,Aug,Fantastic Four - 2015,47849187.0,28.50724978489172,super-high budget,Fantastic Four,Fox,56100000.0,111900000,2015,tt1502712,Fantastic Four,Fantastic Four,2015.0,100.0,"Action,Adventure,Drama"
54,14,2017-12-15,Ferdinand,111000000.0,84410380.0,289847930.0,2017,Dec,Ferdinand - 2017,178847930.0,61.704056330504066,super-high budget,Ferdinand,Fox,84400000.0,211700000,2017,tt3411444,Ferdinand,Ferdinand,2017.0,108.0,"Adventure,Animation,Comedy"
55,15,2018-05-18,Deadpool 2,110000000.0,324591735.0,786680557.0,2018,May,Deadpool 2 - 2018,676680557.0,86.01719604975568,super-high budget,Deadpool 2,Fox,318500000.0,460500000,2018,tt5463162,Deadpool 2,Deadpool 2,2018.0,119.0,"Action,Adventure,Comedy"
