,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,year_x,movie_and_year,profit,profit_margin,budget_tier,title,studio,domestic_gross_y,foreign_gross,year_y
0,4,2015-05-01,Avengers Age of Ultron,330600000.0,459005868.0,1403013963.0,2015,Avengers Age of Ultron - 2015,1072413963.0,76.43644263574588,super-high budget,,,,,
1,5,2017-12-15,Star Wars Ep VIII The Last Jedi,317000000.0,620181382.0,1316721747.0,2017,Star Wars Ep VIII The Last Jedi - 2017,999721747.0,75.92505776393166,super-high budget,,,,,
2,6,2015-12-18,Star Wars Ep VII The Force Awakens,306000000.0,936662225.0,2053311220.0,2015,Star Wars Ep VII The Force Awakens - 2015,1747311220.0,85.09724210244173,super-high budget,,,,,
3,7,2018-04-27,Avengers Infinity War,300000000.0,678815482.0,2048134200.0,2018,Avengers Infinity War - 2018,1748134200.0,85.35252231030564,super-high budget,,,,,
4,9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,2017,Justice League - 2017,355945209.0,54.26447272061713,super-high budget,Justice League,WB,229000000.0,428900000,2017
5,10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,2015,Spectre - 2015,579620923.0,65.89439926271513,super-high budget,Spectre,Sony,200100000.0,680600000,2015
6,12,2018-05-25,Solo A Star Wars Story,275000000.0,213767512.0,393151347.0,2018,Solo A Star Wars Story - 2018,118151347.0,30.05238260063751,super-high budget,,,,,
7,17,2016-05-06,Captain America Civil War,250000000.0,408084349.0,1140069413.0,2016,Captain America Civil War - 2016,890069413.0,78.07151063353719,super-high budget,,,,,
8,18,2016-03-25,Batman v Superman Dawn of Justice,250000000.0,330360194.0,867500281.0,2016,Batman v Superman Dawn of Justice - 2016,617500281.0,71.18156553081278,super-high budget,,,,,
9,22,2014-12-17,The Hobbit The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,2014,The Hobbit The Battle of the Five Armies - 2014,695577621.0,73.56113401503609,super-high budget,,,,,
10,23,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,2017,The Fate of the Furious - 2017,984846267.0,79.75456486519872,super-high budget,The Fate of the Furious,Uni.,226000000.0,"1,010.0",2017
11,25,2017-05-26,Pirates of the Caribbean Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,2017,Pirates of the Caribbean Dead Men Tell No Tales - 2017,558241137.0,70.82111181416303,super-high budget,,,,,
12,33,2017-06-21,Transformers The Last Knight,217000000.0,130168683.0,602893340.0,2017,Transformers The Last Knight - 2017,385893340.0,64.00690045771611,super-high budget,,,,,
13,34,2015-06-12,Jurassic World,215000000.0,652270625.0,1648854864.0,2015,Jurassic World - 2015,1433854864.0,86.96064737447989,super-high budget,Jurassic World,Uni.,652300000.0,"1,019.4",2015
14,37,2014-06-27,Transformers Age of Extinction,210000000.0,245439076.0,1104039076.0,2014,Transformers Age of Extinction - 2014,894039076.0,80.97893411881374,super-high budget,,,,,
15,42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,2018,Black Panther - 2018,1148258224.0,85.16604635226018,super-high budget,Black Panther,BV,700100000.0,646900000,2018
16,44,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,2018,Incredibles 2 - 2018,1042520711.0,83.90368882953774,super-high budget,Incredibles 2,BV,608600000.0,634200000,2018
17,45,2016-12-16,Rogue One A Star Wars Story,200000000.0,532177324.0,1049102856.0,2016,Rogue One A Star Wars Story - 2016,849102856.0,80.9360923139075,super-high budget,,,,,
18,46,2016-06-17,Finding Dory,200000000.0,486295561.0,1021215193.0,2016,Finding Dory - 2016,821215193.0,80.41548917692218,super-high budget,Finding Dory,BV,486300000.0,542300000,2016
19,49,2017-05-05,Guardians of the Galaxy Vol 2,200000000.0,389813101.0,862316233.0,2017,Guardians of the Galaxy Vol 2 - 2017,662316233.0,76.80665255434198,super-high budget,,,,,
20,55,2014-05-23,XMen Days of Future Past,200000000.0,233921534.0,747862775.0,2014,XMen Days of Future Past - 2014,547862775.0,73.25712594800564,super-high budget,,,,,
21,56,2014-05-02,The Amazing SpiderMan 2,200000000.0,202853933.0,708996336.0,2014,The Amazing SpiderMan 2 - 2014,508996336.0,71.79110951004971,super-high budget,,,,,
22,60,2018-11-16,Fantastic Beasts The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,2018,Fantastic Beasts The Crimes of Grindelwald - 2018,452220086.0,69.33550433465184,super-high budget,,,,,
23,65,2017-06-09,The Mummy,195000000.0,80101125.0,409953905.0,2017,The Mummy - 2017,214953905.0,52.433676659330764,super-high budget,,,,,
